Time (UTCG),Semi-major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Arg of Perigee (deg),True Anomaly (deg),Mean Anomaly (deg)
773251200,6978.137,0,35.127,69.757,0,27.715,27.715
773251201,6978.137,0,35.127,69.757,0,27.777,27.777
773251202,6978.137,0,35.127,69.757,0,27.839,27.839
773251203,6978.137,0,35.127,69.757,0,27.901,27.901
773251204,6978.137,0,35.127,69.757,0,27.963,27.963
773251205,6978.137,0,35.127,69.757,0,28.025,28.025
773251206,6978.137,0,35.127,69.757,0,28.087,28.087
773251207,6978.137,0,35.127,69.757,0,28.149,28.149
773251208,6978.137,0,35.127,69.757,0,28.211,28.211
773251209,6978.137,0,35.127,69.757,0,28.273,28.273
773251210,6978.137,0,35.127,69.757,0,28.335,28.335
773251211,6978.137,0,35.127,69.757,0,28.397,28.397
773251212,6978.137,0,35.127,69.757,0,28.459,28.459
773251213,6978.137,0,35.127,69.757,0,28.521,28.521
773251214,6978.137,0,35.127,69.757,0,28.583,28.583
773251215,6978.137,0,35.127,69.757,0,28.646,28.646
773251216,6978.137,0,35.127,69.757,0,28.708,28.708
773251217,6978.137,0,35.127,69.757,0,28.77,28.77
773251218,6978.137,0,35.127,69.757,0,28.832,28.832
773251219,6978.137,0,35.127,69.757,0,28.894,28.894
773251220,6978.137,0,35.127,69.757,0,28.956,28.956
773251221,6978.137,0,35.127,69.757,0,29.018,29.018
773251222,6978.137,0,35.127,69.757,0,29.08,29.08
773251223,6978.137,0,35.127,69.757,0,29.142,29.142
773251224,6978.137,0,35.127,69.757,0,29.204,29.204
773251225,6978.137,0,35.127,69.757,0,29.266,29.266
773251226,6978.137,0,35.127,69.757,0,29.328,29.328
773251227,6978.137,0,35.127,69.757,0,29.39,29.39
773251228,6978.137,0,35.127,69.757,0,29.452,29.452
773251229,6978.137,0,35.127,69.757,0,29.514,29.514
773251230,6978.137,0,35.127,69.757,0,29.576,29.576
773251231,6978.137,0,35.127,69.757,0,29.638,29.638
773251232,6978.137,0,35.127,69.757,0,29.7,29.7
773251233,6978.137,0,35.127,69.757,0,29.763,29.763
773251234,6978.137,0,35.127,69.757,0,29.825,29.825
773251235,6978.137,0,35.127,69.757,0,29.887,29.887
773251236,6978.137,0,35.127,69.757,0,29.949,29.949
773251237,6978.137,0,35.127,69.757,0,30.011,30.011
773251238,6978.137,0,35.127,69.757,0,30.073,30.073
773251239,6978.137,0,35.127,69.757,0,30.135,30.135
773251240,6978.137,0,35.127,69.757,0,30.197,30.197
773251241,6978.137,0,35.127,69.757,0,30.259,30.259
773251242,6978.137,0,35.127,69.757,0,30.321,30.321
773251243,6978.137,0,35.127,69.757,0,30.383,30.383
773251244,6978.137,0,35.127,69.757,0,30.445,30.445
773251245,6978.137,0,35.127,69.757,0,30.507,30.507
773251246,6978.137,0,35.127,69.757,0,30.569,30.569
773251247,6978.137,0,35.127,69.757,0,30.631,30.631
773251248,6978.137,0,35.127,69.757,0,30.693,30.693
773251249,6978.137,0,35.127,69.757,0,30.755,30.755
773251250,6978.137,0,35.127,69.757,0,30.817,30.817
773251251,6978.137,0,35.127,69.757,0,30.88,30.88
773251252,6978.137,0,35.127,69.757,0,30.942,30.942
773251253,6978.137,0,35.127,69.757,0,31.004,31.004
773251254,6978.137,0,35.127,69.757,0,31.066,31.066
773251255,6978.137,0,35.127,69.757,0,31.128,31.128
773251256,6978.137,0,35.127,69.757,0,31.19,31.19
773251257,6978.137,0,35.127,69.757,0,31.252,31.252
773251258,6978.137,0,35.127,69.757,0,31.314,31.314
773251259,6978.137,0,35.127,69.757,0,31.376,31.376
773251260,6978.137,0,35.127,69.757,0,31.438,31.438
773251261,6978.137,0,35.127,69.757,0,31.5,31.5
773251262,6978.137,0,35.127,69.757,0,31.562,31.562
773251263,6978.137,0,35.127,69.757,0,31.624,31.624
773251264,6978.137,0,35.127,69.757,0,31.686,31.686
773251265,6978.137,0,35.127,69.757,0,31.748,31.748
773251266,6978.137,0,35.127,69.757,0,31.81,31.81
773251267,6978.137,0,35.127,69.757,0,31.872,31.872
773251268,6978.137,0,35.127,69.757,0,31.935,31.935
773251269,6978.137,0,35.127,69.757,0,31.997,31.997
773251270,6978.137,0,35.127,69.757,0,32.059,32.059
