Time (UTC),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
773251200,-2484.338377,6248.027844,1866.710174,-5.121573,-3.182114,3.83467
773251201,-2489.458731,6244.842456,1870.543749,-5.119134,-3.188662,3.832478
773251202,-2494.576643,6241.650522,1874.375129,-5.116689,-3.195206,3.830282
773251203,-2499.692108,6238.452045,1878.204311,-5.11424,-3.201747,3.828081
773251204,-2504.805121,6235.24703,1882.031289,-5.111785,-3.208284,3.825875
773251205,-2509.915676,6232.035479,1885.85606,-5.109326,-3.214818,3.823665
773251206,-2515.02377,6228.817395,1889.678619,-5.106861,-3.221348,3.821451
773251207,-2520.129397,6225.592783,1893.498961,-5.104391,-3.227876,3.819232
773251208,-2525.232551,6222.361645,1897.317081,-5.101917,-3.234399,3.817009
773251209,-2530.333229,6219.123986,1901.132976,-5.099437,-3.24092,3.814781
773251210,-2535.431424,6215.879807,1904.946641,-5.096953,-3.247436,3.812548
773251211,-2540.527132,6212.629114,1908.758071,-5.094463,-3.25395,3.810311
773251212,-2545.620348,6209.371909,1912.567262,-5.091968,-3.26046,3.80807
773251213,-2550.711067,6206.108195,1916.37421,-5.089469,-3.266967,3.805824
773251214,-2555.799284,6202.837977,1920.17891,-5.086964,-3.27347,3.803574
773251215,-2560.884994,6199.561257,1923.981357,-5.084455,-3.279969,3.801319
773251216,-2565.968191,6196.278039,1927.781547,-5.08194,-3.286466,3.79906
773251217,-2571.048872,6192.988327,1931.579476,-5.07942,-3.292958,3.796797
773251218,-2576.12703,6189.692124,1935.375139,-5.076896,-3.299448,3.794529
773251219,-2581.202662,6186.389433,1939.168531,-5.074366,-3.305933,3.792256
773251220,-2586.275761,6183.080258,1942.959649,-5.071832,-3.312416,3.789979
773251221,-2591.346324,6179.764603,1946.748488,-5.069292,-3.318894,3.787698
773251222,-2596.414344,6176.442471,1950.535043,-5.066748,-3.32537,3.785412
773251223,-2601.479818,6173.113865,1954.31931,-5.064198,-3.331842,3.783121
773251224,-2606.542739,6169.778789,1958.101284,-5.061644,-3.33831,3.780827
773251225,-2611.603104,6166.437246,1961.880961,-5.059085,-3.344774,3.778527
773251226,-2616.660907,6163.089241,1965.658337,-5.05652,-3.351236,3.776224
773251227,-2621.716143,6159.734776,1969.433408,-5.053951,-3.357693,3.773916
773251228,-2626.768807,6156.373855,1973.206168,-5.051377,-3.364147,3.771603
773251229,-2631.818894,6153.006482,1976.976613,-5.048797,-3.370598,3.769286
773251230,-2636.8664,6149.63266,1980.744739,-5.046213,-3.377045,3.766965
773251231,-2641.911319,6146.252393,1984.510542,-5.043624,-3.383488,3.764639
773251232,-2646.953647,6142.865685,1988.274016,-5.04103,-3.389928,3.762309
773251233,-2651.993377,6139.472538,1992.035159,-5.038431,-3.396365,3.759975
773251234,-2657.030507,6136.072957,1995.793964,-5.035827,-3.402797,3.757636
773251235,-2662.06503,6132.666944,1999.550428,-5.033218,-3.409226,3.755292
773251236,-2667.096941,6129.254505,2003.304547,-5.030604,-3.415652,3.752945
773251237,-2672.126237,6125.835642,2007.056316,-5.027985,-3.422074,3.750592
773251238,-2677.152911,6122.410359,2010.80573,-5.025362,-3.428492,3.748236
773251239,-2682.176958,6118.978659,2014.552786,-5.022733,-3.434907,3.745875
773251240,-2687.198375,6115.540546,2018.297478,-5.020099,-3.441318,3.743509
773251241,-2692.217156,6112.096024,2022.039803,-5.017461,-3.447725,3.74114
773251242,-2697.233295,6108.645097,2025.779756,-5.014817,-3.454129,3.738765
773251243,-2702.246789,6105.187768,2029.517333,-5.012169,-3.460529,3.736387
773251244,-2707.257632,6101.72404,2033.252528,-5.009516,-3.466926,3.734004
773251245,-2712.265819,6098.253918,2036.985339,-5.006858,-3.473318,3.731617
773251246,-2717.271345,6094.777405,2040.71576,-5.004194,-3.479707,3.729225
773251247,-2722.274206,6091.294504,2044.443787,-5.001526,-3.486093,3.726829
773251248,-2727.274396,6087.80522,2048.169416,-4.998853,-3.492475,3.724428
773251249,-2732.271911,6084.309556,2051.892643,-4.996176,-3.498853,3.722024
773251250,-2737.266746,6080.807516,2055.613462,-4.993493,-3.505227,3.719614
773251251,-2742.258896,6077.299103,2059.33187,-4.990805,-3.511598,3.717201
773251252,-2747.248355,6073.784321,2063.047863,-4.988113,-3.517965,3.714783
773251253,-2752.235119,6070.263175,2066.761435,-4.985415,-3.524328,3.712361
