Time (UTCG),Semi-major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Arg of Perigee (deg),True Anomaly (deg),Mean Anomaly (deg)
04:03.0,6978.137,0,35.127,69.757,0,49.994,49.994
04:04.0,6978.137,0,35.127,69.757,0,50.056,50.056
04:05.0,6978.137,0,35.127,69.757,0,50.118,50.118
04:06.0,6978.137,0,35.127,69.757,0,50.18,50.18
04:07.0,6978.137,0,35.127,69.757,0,50.242,50.242
04:08.0,6978.137,0,35.127,69.757,0,50.305,50.305
04:09.0,6978.137,0,35.127,69.757,0,50.367,50.367
04:10.0,6978.137,0,35.127,69.757,0,50.429,50.429
04:11.0,6978.137,0,35.127,69.757,0,50.491,50.491
04:12.0,6978.137,0,35.127,69.757,0,50.553,50.553
04:13.0,6978.137,0,35.127,69.757,0,50.615,50.615
04:14.0,6978.137,0,35.127,69.757,0,50.677,50.677
04:15.0,6978.137,0,35.127,69.757,0,50.739,50.739
04:16.0,6978.137,0,35.127,69.757,0,50.801,50.801
04:17.0,6978.137,0,35.127,69.757,0,50.863,50.863
04:18.0,6978.137,0,35.127,69.757,0,50.925,50.925
04:19.0,6978.137,0,35.127,69.757,0,50.987,50.987
04:20.0,6978.137,0,35.127,69.757,0,51.049,51.049
04:21.0,6978.137,0,35.127,69.757,0,51.111,51.111
04:22.0,6978.137,0,35.127,69.757,0,51.173,51.173
04:23.0,6978.137,0,35.127,69.757,0,51.235,51.235
04:24.0,6978.137,0,35.127,69.757,0,51.297,51.297
04:25.0,6978.137,0,35.127,69.757,0,51.359,51.359
04:26.0,6978.137,0,35.127,69.757,0,51.422,51.422
04:27.0,6978.137,0,35.127,69.757,0,51.484,51.484
04:28.0,6978.137,0,35.127,69.757,0,51.546,51.546
04:29.0,6978.137,0,35.127,69.757,0,51.608,51.608
04:30.0,6978.137,0,35.127,69.757,0,51.67,51.67
04:31.0,6978.137,0,35.127,69.757,0,51.732,51.732
04:32.0,6978.137,0,35.127,69.757,0,51.794,51.794
04:33.0,6978.137,0,35.127,69.757,0,51.856,51.856
04:34.0,6978.137,0,35.127,69.757,0,51.918,51.918
04:35.0,6978.137,0,35.127,69.757,0,51.98,51.98
04:36.0,6978.137,0,35.127,69.757,0,52.042,52.042
04:37.0,6978.137,0,35.127,69.757,0,52.104,52.104
04:38.0,6978.137,0,35.127,69.757,0,52.166,52.166
04:39.0,6978.137,0,35.127,69.757,0,52.228,52.228
04:40.0,6978.137,0,35.127,69.757,0,52.29,52.29
04:41.0,6978.137,0,35.127,69.757,0,52.352,52.352
04:42.0,6978.137,0,35.127,69.757,0,52.414,52.414
04:43.0,6978.137,0,35.127,69.757,0,52.476,52.476
04:44.0,6978.137,0,35.127,69.757,0,52.539,52.539
04:45.0,6978.137,0,35.127,69.757,0,52.601,52.601
04:46.0,6978.137,0,35.127,69.757,0,52.663,52.663
04:47.0,6978.137,0,35.127,69.757,0,52.725,52.725
04:48.0,6978.137,0,35.127,69.757,0,52.787,52.787
04:49.0,6978.137,0,35.127,69.757,0,52.849,52.849
04:50.0,6978.137,0,35.127,69.757,0,52.911,52.911
04:51.0,6978.137,0,35.127,69.757,0,52.973,52.973
04:52.0,6978.137,0,35.127,69.757,0,53.035,53.035
04:53.0,6978.137,0,35.127,69.757,0,53.097,53.097
04:54.0,6978.137,0,35.127,69.757,0,53.159,53.159
04:55.0,6978.137,0,35.127,69.757,0,53.221,53.221
04:56.0,6978.137,0,35.127,69.757,0,53.283,53.283
04:57.0,6978.137,0,35.127,69.757,0,53.345,53.345
04:58.0,6978.137,0,35.127,69.757,0,53.407,53.407
04:59.0,6978.137,0,35.127,69.757,0,53.469,53.469
05:00.0,6978.137,0,35.127,69.757,0,53.531,53.531
05:01.0,6978.137,0,35.127,69.757,0,53.593,53.593
05:02.0,6978.137,0,35.127,69.757,0,53.656,53.656
05:03.0,6978.137,0,35.127,69.757,0,53.718,53.718
05:04.0,6978.137,0,35.127,69.757,0,53.78,53.78
05:05.0,6978.137,0,35.127,69.757,0,53.842,53.842
05:06.0,6978.137,0,35.127,69.757,0,53.904,53.904
05:07.0,6978.137,0,35.127,69.757,0,53.966,53.966
05:08.0,6978.137,0,35.127,69.757,0,54.028,54.028
05:09.0,6978.137,0,35.127,69.757,0,54.09,54.09
05:10.0,6978.137,0,35.127,69.757,0,54.152,54.152
05:11.0,6978.137,0,35.127,69.757,0,54.214,54.214
05:12.0,6978.137,0,35.127,69.757,0,54.276,54.276
05:13.0,6978.137,0,35.127,69.757,0,54.338,54.338
05:14.0,6978.137,0,35.127,69.757,0,54.4,54.4
05:15.0,6978.137,0,35.127,69.757,0,54.462,54.462
05:16.0,6978.137,0,35.127,69.757,0,54.524,54.524
05:17.0,6978.137,0,35.127,69.757,0,54.586,54.586
05:18.0,6978.137,0,35.127,69.757,0,54.648,54.648
05:19.0,6978.137,0,35.127,69.757,0,54.711,54.711
05:20.0,6978.137,0,35.127,69.757,0,54.773,54.773
05:21.0,6978.137,0,35.127,69.757,0,54.835,54.835
05:22.0,6978.137,0,35.127,69.757,0,54.897,54.897
05:23.0,6978.137,0,35.127,69.757,0,54.959,54.959
05:24.0,6978.137,0,35.127,69.757,0,55.021,55.021
05:25.0,6978.137,0,35.127,69.757,0,55.083,55.083
05:26.0,6978.137,0,35.127,69.757,0,55.145,55.145
05:27.0,6978.137,0,35.127,69.757,0,55.207,55.207
05:28.0,6978.137,0,35.127,69.757,0,55.269,55.269
05:29.0,6978.137,0,35.127,69.757,0,55.331,55.331
05:30.0,6978.137,0,35.127,69.757,0,55.393,55.393
05:31.0,6978.137,0,35.127,69.757,0,55.455,55.455
05:32.0,6978.137,0,35.127,69.757,0,55.517,55.517
05:33.0,6978.137,0,35.127,69.757,0,55.579,55.579
05:34.0,6978.137,0,35.127,69.757,0,55.641,55.641
05:35.0,6978.137,0,35.127,69.757,0,55.703,55.703
05:36.0,6978.137,0,35.127,69.757,0,55.765,55.765
05:37.0,6978.137,0,35.127,69.757,0,55.828,55.828
05:38.0,6978.137,0,35.127,69.757,0,55.89,55.89
05:39.0,6978.137,0,35.127,69.757,0,55.952,55.952
05:40.0,6978.137,0,35.127,69.757,0,56.014,56.014
05:41.0,6978.137,0,35.127,69.757,0,56.076,56.076
05:42.0,6978.137,0,35.127,69.757,0,56.138,56.138
05:43.0,6978.137,0,35.127,69.757,0,56.2,56.2
05:44.0,6978.137,0,35.127,69.757,0,56.262,56.262
05:45.0,6978.137,0,35.127,69.757,0,56.324,56.324
05:46.0,6978.137,0,35.127,69.757,0,56.386,56.386
05:47.0,6978.137,0,35.127,69.757,0,56.448,56.448
05:48.0,6978.137,0,35.127,69.757,0,56.51,56.51
05:49.0,6978.137,0,35.127,69.757,0,56.572,56.572
05:50.0,6978.137,0,35.127,69.757,0,56.634,56.634
05:51.0,6978.137,0,35.127,69.757,0,56.696,56.696
05:52.0,6978.137,0,35.127,69.757,0,56.758,56.758
05:53.0,6978.137,0,35.127,69.757,0,56.82,56.82
05:54.0,6978.137,0,35.127,69.757,0,56.882,56.882
05:55.0,6978.137,0,35.127,69.757,0,56.945,56.945
05:56.0,6978.137,0,35.127,69.757,0,57.007,57.007
05:57.0,6978.137,0,35.127,69.757,0,57.069,57.069
05:58.0,6978.137,0,35.127,69.757,0,57.131,57.131
05:59.0,6978.137,0,35.127,69.757,0,57.193,57.193
