Time (UTC),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
773251200,-1601.982174,6493.950107,1989.135771,-5.52953,-2.516325,3.761775
773251201,-1607.510952,6491.430394,1992.896378,-5.528024,-2.523101,3.759439
773251202,-1613.03822,6488.903906,1996.654648,-5.526512,-2.529873,3.757099
773251203,-1618.563974,6486.370648,2000.410575,-5.524995,-2.536643,3.754755
773251204,-1624.088208,6483.830621,2004.164156,-5.523472,-2.543411,3.752406
773251205,-1629.610916,6481.283828,2007.915386,-5.521944,-2.550175,3.750053
773251206,-1635.132094,6478.730271,2011.66426,-5.52041,-2.556937,3.747695
773251207,-1640.651734,6476.169955,2015.410775,-5.518871,-2.563696,3.745333
773251208,-1646.169833,6473.602881,2019.154926,-5.517326,-2.570452,3.742967
773251209,-1651.686384,6471.029052,2022.896707,-5.515776,-2.577205,3.740596
773251210,-1657.201383,6468.448471,2026.636116,-5.51422,-2.583956,3.738221
773251211,-1662.714823,6465.861141,2030.373148,-5.512659,-2.590704,3.735841
773251212,-1668.226699,6463.267064,2034.107798,-5.511093,-2.597449,3.733457
773251213,-1673.737006,6460.666243,2037.840061,-5.509521,-2.604191,3.731069
773251214,-1679.245739,6458.058682,2041.569935,-5.507943,-2.610931,3.728676
773251215,-1684.752891,6455.444383,2045.297413,-5.50636,-2.617667,3.726279
773251216,-1690.258458,6452.823348,2049.022492,-5.504772,-2.624401,3.723878
773251217,-1695.762433,6450.195581,2052.745167,-5.503178,-2.631132,3.721472
773251218,-1701.264812,6447.561085,2056.465435,-5.501579,-2.63786,3.719062
773251219,-1706.76559,6444.919862,2060.18329,-5.499974,-2.644586,3.716647
773251220,-1712.264759,6442.271915,2063.898728,-5.498364,-2.651308,3.714229
773251221,-1717.762317,6439.617247,2067.611746,-5.496749,-2.658028,3.711805
773251222,-1723.258255,6436.955861,2071.322337,-5.495128,-2.664744,3.709378
773251223,-1728.752571,6434.287759,2075.0305,-5.493501,-2.671458,3.706946
773251224,-1734.245257,6431.612945,2078.736228,-5.49187,-2.678169,3.704509
773251225,-1739.736308,6428.931422,2082.439517,-5.490232,-2.684877,3.702069
773251226,-1745.225719,6426.243192,2086.140364,-5.48859,-2.691582,3.699624
773251227,-1750.713486,6423.548258,2089.838763,-5.486942,-2.698285,3.697174
773251228,-1756.199601,6420.846624,2093.534711,-5.485288,-2.704984,3.694721
773251229,-1761.68406,6418.138291,2097.228203,-5.483629,-2.71168,3.692263
773251230,-1767.166857,6415.423264,2100.919235,-5.481965,-2.718374,3.6898
773251231,-1772.647987,6412.701545,2104.607803,-5.480295,-2.725064,3.687334
773251232,-1778.127444,6409.973136,2108.293902,-5.478619,-2.731752,3.684863
773251233,-1783.605224,6407.238042,2111.977527,-5.476939,-2.738437,3.682388
773251234,-1789.08132,6404.496264,2115.658675,-5.475253,-2.745118,3.679908
773251235,-1794.555727,6401.747806,2119.337341,-5.473561,-2.751797,3.677424
773251236,-1800.02844,6398.99267,2123.013522,-5.471864,-2.758473,3.674936
773251237,-1805.499454,6396.23086,2126.687211,-5.470162,-2.765146,3.672443
773251238,-1810.968762,6393.462379,2130.358406,-5.468454,-2.771816,3.669946
773251239,-1816.43636,6390.68723,2134.027102,-5.466741,-2.778483,3.667445
773251240,-1821.902242,6387.905415,2137.693295,-5.465022,-2.785147,3.66494
773251241,-1827.366402,6385.116938,2141.35698,-5.463298,-2.791807,3.66243
773251242,-1832.828836,6382.321801,2145.018153,-5.461569,-2.798465,3.659916
773251243,-1838.289538,6379.520008,2148.67681,-5.459834,-2.80512,3.657397
773251244,-1843.748502,6376.711562,2152.332946,-5.458094,-2.811772,3.654875
773251245,-1849.205723,6373.896465,2155.986558,-5.456348,-2.818421,3.652348
773251246,-1854.661196,6371.074721,2159.63764,-5.454597,-2.825067,3.649816
773251247,-1860.114915,6368.246333,2163.286189,-5.45284,-2.831709,3.647281
773251248,-1865.566875,6365.411304,2166.932201,-5.451079,-2.838349,3.644741
773251249,-1871.017071,6362.569636,2170.57567,-5.449311,-2.844986,3.642197
773251250,-1876.465496,6359.721333,2174.216593,-5.447539,-2.851619,3.639649
773251251,-1881.912146,6356.866399,2177.854966,-5.445761,-2.85825,3.637096
773251252,-1887.357016,6354.004835,2181.490784,-5.443977,-2.864877,3.634539
773251253,-1892.800099,6351.136646,2185.124043,-5.442188,-2.871501,3.631978
773251254,-1898.241391,6348.261833,2188.754739,-5.440394,-2.878123,3.629413
773251255,-1903.680886,6345.380402,2192.382867,-5.438595,-2.884741,3.626843
773251256,-1909.118579,6342.492353,2196.008423,-5.43679,-2.891356,3.624269
773251257,-1914.554463,6339.597691,2199.631404,-5.434979,-2.897968,3.621691
773251258,-1919.988535,6336.696419,2203.251804,-5.433164,-2.904576,3.619109
773251259,-1925.420789,6333.788539,2206.869619,-5.431342,-2.911182,3.616522
773251260,-1930.851218,6330.874056,2210.484846,-5.429516,-2.917785,3.613931
773251261,-1936.279819,6327.952971,2214.09748,-5.427684,-2.924384,3.611336
773251262,-1941.706585,6325.025289,2217.707516,-5.425847,-2.93098,3.608736
773251263,-1947.131511,6322.091012,2221.314951,-5.424004,-2.937573,3.606133
773251264,-1952.554591,6319.150143,2224.91978,-5.422156,-2.944163,3.603525
773251265,-1957.975821,6316.202686,2228.521999,-5.420303,-2.95075,3.600913
773251266,-1963.395195,6313.248644,2232.121605,-5.418444,-2.957334,3.598297
773251267,-1968.812707,6310.28802,2235.718591,-5.41658,-2.963914,3.595676
773251268,-1974.228353,6307.320817,2239.312955,-5.41471,-2.970491,3.593051
773251269,-1979.642127,6304.347039,2242.904692,-5.412836,-2.977065,3.590422
773251270,-1985.054022,6301.366688,2246.493799,-5.410955,-2.983636,3.587789
773251271,-1990.464035,6298.379767,2250.080269,-5.40907,-2.990204,3.585152
773251272,-1995.87216,6295.386281,2253.664101,-5.407179,-2.996768,3.58251
773251273,-2001.278391,6292.386232,2257.245289,-5.405283,-3.003329,3.579864
773251274,-2006.682724,6289.379624,2260.823828,-5.403381,-3.009887,3.577215
773251275,-2012.085152,6286.366459,2264.399716,-5.401474,-3.016442,3.57456
773251276,-2017.48567,6283.346741,2267.972948,-5.399562,-3.022993,3.571902
773251277,-2022.884273,6280.320474,2271.543519,-5.397644,-3.029542,3.569239
773251278,-2028.280956,6277.287659,2275.111425,-5.395721,-3.036086,3.566573
773251279,-2033.675713,6274.248302,2278.676663,-5.393792,-3.042628,3.563902
773251280,-2039.068539,6271.202404,2282.239227,-5.391859,-3.049167,3.561227
773251281,-2044.459429,6268.14997,2285.799114,-5.38992,-3.055702,3.558547
773251282,-2049.848377,6265.091002,2289.35632,-5.387975,-3.062234,3.555864
773251283,-2055.235378,6262.025504,2292.910841,-5.386026,-3.068762,3.553176
773251284,-2060.620426,6258.953479,2296.462671,-5.38407,-3.075287,3.550484
773251285,-2066.003517,6255.87493,2300.011808,-5.38211,-3.081809,3.547788
773251286,-2071.384644,6252.789861,2303.558247,-5.380144,-3.088328,3.545088
773251287,-2076.763804,6249.698275,2307.101984,-5.378173,-3.094843,3.542384
773251288,-2082.140989,6246.600176,2310.643014,-5.376197,-3.101355,3.539676
773251289,-2087.516195,6243.495566,2314.181333,-5.374215,-3.107864,3.536963
773251290,-2092.889417,6240.384449,2317.716938,-5.372228,-3.114369,3.534246
773251291,-2098.260649,6237.266829,2321.249825,-5.370235,-3.120871,3.531525
773251292,-2103.629886,6234.142708,2324.779988,-5.368238,-3.12737,3.5288
773251293,-2108.997123,6231.01209,2328.307424,-5.366235,-3.133865,3.526071
773251294,-2114.362354,6227.874979,2331.832129,-5.364226,-3.140357,3.523338
773251295,-2119.725574,6224.731377,2335.354098,-5.362213,-3.146846,3.5206
773251296,-2125.086777,6221.581289,2338.873328,-5.360194,-3.153331,3.517859
773251297,-2130.445959,6218.424717,2342.389815,-5.358169,-3.159812,3.515113
773251298,-2135.803114,6215.261665,2345.903553,-5.35614,-3.166291,3.512363
773251299,-2141.158237,6212.092137,2349.41454,-5.354105,-3.172766,3.509609
773251300,-2146.511322,6208.916135,2352.922771,-5.352065,-3.179237,3.506851
773251301,-2151.862364,6205.733663,2356.428242,-5.350019,-3.185705,3.504089
773251302,-2157.211358,6202.544725,2359.930948,-5.347968,-3.19217,3.501323
773251303,-2162.558299,6199.349324,2363.430886,-5.345912,-3.198631,3.498553
773251304,-2167.90318,6196.147463,2366.928052,-5.34385,-3.205089,3.495778
773251305,-2173.245998,6192.939147,2370.422441,-5.341784,-3.211544,3.492999
773251306,-2178.586746,6189.724377,2373.914049,-5.339712,-3.217995,3.490217
773251307,-2183.92542,6186.503159,2377.402873,-5.337634,-3.224442,3.48743
773251308,-2189.262013,6183.275494,2380.888908,-5.335552,-3.230886,3.484639
773251309,-2194.596521,6180.041388,2384.37215,-5.333464,-3.237327,3.481844
773251310,-2199.928939,6176.800842,2387.852595,-5.331371,-3.243764,3.479045
773251311,-2205.25926,6173.553861,2391.330239,-5.329272,-3.250197,3.476242
773251312,-2210.587481,6170.300448,2394.805077,-5.327168,-3.256628,3.473435
773251313,-2215.913595,6167.040607,2398.277107,-5.325059,-3.263054,3.470623
773251314,-2221.237597,6163.774341,2401.746323,-5.322945,-3.269477,3.467808
773251315,-2226.559483,6160.501654,2405.212722,-5.320825,-3.275897,3.464989
773251316,-2231.879246,6157.222548,2408.676299,-5.3187,-3.282313,3.462165
773251317,-2237.196882,6153.937029,2412.137051,-5.31657,-3.288726,3.459338
773251318,-2242.512384,6150.645098,2415.594973,-5.314435,-3.295135,3.456506
773251319,-2247.825749,6147.34676,2419.050062,-5.312294,-3.30154,3.45367
773251320,-2253.13697,6144.042019,2422.502313,-5.310148,-3.307942,3.450831
773251321,-2258.446043,6140.730877,2425.951722,-5.307997,-3.314341,3.447987
773251322,-2263.752962,6137.413339,2429.398285,-5.30584,-3.320735,3.445139
773251323,-2269.057721,6134.089407,2432.841999,-5.303678,-3.327127,3.442287
773251324,-2274.360316,6130.759087,2436.282858,-5.301511,-3.333515,3.439431
773251325,-2279.660742,6127.42238,2439.72086,-5.299339,-3.339899,3.436572
773251326,-2284.958992,6124.07929,2443.156,-5.297161,-3.346279,3.433708
773251327,-2290.255062,6120.729822,2446.588274,-5.294978,-3.352656,3.43084
773251328,-2295.548947,6117.373979,2450.017678,-5.29279,-3.35903,3.427968
773251329,-2300.840641,6114.011764,2453.444208,-5.290597,-3.365399,3.425092
773251330,-2306.130139,6110.643182,2456.86786,-5.288398,-3.371766,3.422212
773251331,-2311.417436,6107.268234,2460.288629,-5.286195,-3.378128,3.419327
773251332,-2316.702527,6103.886926,2463.706513,-5.283985,-3.384487,3.416439
773251333,-2321.985405,6100.499261,2467.121507,-5.281771,-3.390842,3.413547
773251334,-2327.266067,6097.105243,2470.533606,-5.279552,-3.397194,3.410651
773251335,-2332.544507,6093.704875,2473.942808,-5.277327,-3.403542,3.407751
773251336,-2337.820719,6090.29816,2477.349107,-5.275097,-3.409886,3.404847
773251337,-2343.094698,6086.885103,2480.752501,-5.272861,-3.416227,3.401939
773251338,-2348.36644,6083.465707,2484.152984,-5.270621,-3.422564,3.399027
773251339,-2353.635939,6080.039975,2487.550553,-5.268375,-3.428898,3.396111
773251340,-2358.903189,6076.607913,2490.945205,-5.266124,-3.435227,3.393191
773251341,-2364.168185,6073.169522,2494.336934,-5.263868,-3.441553,3.390267
773251342,-2369.430923,6069.724807,2497.725737,-5.261607,-3.447876,3.387339
773251343,-2374.691397,6066.273772,2501.11161,-5.25934,-3.454194,3.384407
773251344,-2379.949601,6062.81642,2504.49455,-5.257068,-3.460509,3.381471
773251345,-2385.205531,6059.352754,2507.874551,-5.254791,-3.466821,3.378531
773251346,-2390.459181,6055.88278,2511.25161,-5.252509,-3.473128,3.375587
773251347,-2395.710547,6052.406499,2514.625724,-5.250221,-3.479432,3.372639
773251348,-2400.959622,6048.923917,2517.996888,-5.247928,-3.485732,3.369688
773251349,-2406.206402,6045.435037,2521.365098,-5.245631,-3.492028,3.366732
773251350,-2411.450881,6041.939862,2524.73035,-5.243327,-3.498321,3.363772
773251351,-2416.693055,6038.438396,2528.092641,-5.241019,-3.50461,3.360809
773251352,-2421.932918,6034.930644,2531.451966,-5.238705,-3.510895,3.357841
773251353,-2427.170464,6031.416608,2534.808322,-5.236387,-3.517176,3.35487
773251354,-2432.40569,6027.896293,2538.161704,-5.234063,-3.523454,3.351894
773251355,-2437.638588,6024.369702,2541.512109,-5.231734,-3.529727,3.348915
773251356,-2442.869155,6020.836839,2544.859532,-5.229399,-3.535997,3.345931
773251357,-2448.097385,6017.297708,2548.20397,-5.22706,-3.542264,3.342944
773251358,-2453.323273,6013.752313,2551.545419,-5.224715,-3.548526,3.339953
773251359,-2458.546814,6010.200657,2554.883875,-5.222365,-3.554785,3.336958
773251360,-2463.768002,6006.642745,2558.219334,-5.22001,-3.561039,3.333959
773251361,-2468.986832,6003.07858,2561.551792,-5.21765,-3.56729,3.330956
773251362,-2474.203299,5999.508165,2564.881245,-5.215284,-3.573538,3.327949
773251363,-2479.417399,5995.931506,2568.207689,-5.212914,-3.579781,3.324939
773251364,-2484.629125,5992.348605,2571.53112,-5.210538,-3.58602,3.321924
773251365,-2489.838473,5988.759466,2574.851535,-5.208157,-3.592256,3.318905
773251366,-2495.045437,5985.164094,2578.16893,-5.205771,-3.598488,3.315883
773251367,-2500.250012,5981.562491,2581.4833,-5.203379,-3.604716,3.312857
773251368,-2505.452194,5977.954663,2584.794642,-5.200983,-3.61094,3.309827
773251369,-2510.651976,5974.340612,2588.102952,-5.198581,-3.61716,3.306793
773251370,-2515.849354,5970.720344,2591.408226,-5.196174,-3.623377,3.303755
773251371,-2521.044323,5967.09386,2594.71046,-5.193762,-3.629589,3.300713
773251372,-2526.236877,5963.461167,2598.00965,-5.191345,-3.635798,3.297667
773251373,-2531.427012,5959.822266,2601.305793,-5.188923,-3.642002,3.294618
773251374,-2536.614721,5956.177163,2604.598884,-5.186495,-3.648203,3.291564
773251375,-2541.800001,5952.525861,2607.88892,-5.184063,-3.6544,3.288507
773251376,-2546.982845,5948.868364,2611.175897,-5.181625,-3.660593,3.285446
773251377,-2552.163249,5945.204676,2614.45981,-5.179182,-3.666782,3.282381
773251378,-2557.341208,5941.534801,2617.740657,-5.176734,-3.672967,3.279312
773251379,-2562.516716,5937.858743,2621.018433,-5.174281,-3.679149,3.276239
773251380,-2567.689768,5934.176505,2624.293134,-5.171822,-3.685326,3.273163
773251381,-2572.860359,5930.488092,2627.564757,-5.169359,-3.691499,3.270082
773251382,-2578.028484,5926.793508,2630.833298,-5.16689,-3.697669,3.266998
773251383,-2583.194138,5923.092756,2634.098752,-5.164417,-3.703834,3.26391
773251384,-2588.357315,5919.385841,2637.361117,-5.161938,-3.709995,3.260818
773251385,-2593.518011,5915.672767,2640.620387,-5.159454,-3.716153,3.257723
773251386,-2598.676221,5911.953537,2643.876561,-5.156965,-3.722306,3.254623
773251387,-2603.831939,5908.228155,2647.129632,-5.15447,-3.728456,3.25152
773251388,-2608.98516,5904.496626,2650.379599,-5.151971,-3.734602,3.248413
773251389,-2614.135879,5900.758954,2653.626456,-5.149466,-3.740743,3.245302
773251390,-2619.284091,5897.015141,2656.870201,-5.146957,-3.746881,3.242187
773251391,-2624.429791,5893.265194,2660.110829,-5.144442,-3.753014,3.239068
773251392,-2629.572973,5889.509114,2663.348336,-5.141922,-3.759144,3.235946
773251393,-2634.713633,5885.746908,2666.582719,-5.139397,-3.765269,3.23282
773251394,-2639.851766,5881.978578,2669.813975,-5.136867,-3.771391,3.22969
773251395,-2644.987366,5878.204128,2673.042098,-5.134332,-3.777508,3.226556
773251396,-2650.120428,5874.423563,2676.267086,-5.131792,-3.783621,3.223419
773251397,-2655.250947,5870.636886,2679.488934,-5.129246,-3.789731,3.220277
773251398,-2660.378919,5866.844103,2682.707639,-5.126696,-3.795836,3.217132
773251399,-2665.504337,5863.045216,2685.923197,-5.12414,-3.801937,3.213983
773251400,-2670.627197,5859.240229,2689.135604,-5.121579,-3.808034,3.210831
773251401,-2675.747494,5855.429148,2692.344857,-5.119014,-3.814128,3.207674
773251402,-2680.865223,5851.611976,2695.550952,-5.116443,-3.820217,3.204514
773251403,-2685.980378,5847.788716,2698.753884,-5.113867,-3.826301,3.20135
773251404,-2691.092955,5843.959374,2701.953651,-5.111286,-3.832382,3.198183
773251405,-2696.202948,5840.123953,2705.150248,-5.1087,-3.838459,3.195011
773251406,-2701.310353,5836.282457,2708.343672,-5.106109,-3.844532,3.191836
773251407,-2706.415164,5832.434891,2711.533919,-5.103512,-3.8506,3.188657
773251408,-2711.517376,5828.581258,2714.720985,-5.100911,-3.856665,3.185474
773251409,-2716.616984,5824.721563,2717.904866,-5.098304,-3.862725,3.182288
773251410,-2721.713983,5820.85581,2721.08556,-5.095693,-3.868781,3.179098
