Time (UTC),Semi-major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Arg of Perigee (deg),True Anomaly (deg),Mean Anomaly (deg)
773251200,6978.137,0,35.117,60.186,0,29.679,29.679
773251201,6978.137,0,35.117,60.186,0,29.741,29.741
773251202,6978.137,0,35.117,60.186,0,29.803,29.803
773251203,6978.137,0,35.117,60.186,0,29.865,29.865
773251204,6978.137,0,35.117,60.186,0,29.927,29.927
773251205,6978.137,0,35.117,60.186,0,29.989,29.989
773251206,6978.137,0,35.117,60.186,0,30.051,30.051
773251207,6978.137,0,35.117,60.186,0,30.113,30.113
773251208,6978.137,0,35.117,60.186,0,30.176,30.176
773251209,6978.137,0,35.117,60.186,0,30.238,30.238
773251210,6978.137,0,35.117,60.186,0,30.3,30.3
773251211,6978.137,0,35.117,60.186,0,30.362,30.362
773251212,6978.137,0,35.117,60.186,0,30.424,30.424
773251213,6978.137,0,35.117,60.186,0,30.486,30.486
773251214,6978.137,0,35.117,60.186,0,30.548,30.548
773251215,6978.137,0,35.117,60.186,0,30.61,30.61
773251216,6978.137,0,35.117,60.186,0,30.672,30.672
773251217,6978.137,0,35.117,60.186,0,30.734,30.734
773251218,6978.137,0,35.117,60.186,0,30.796,30.796
773251219,6978.137,0,35.117,60.186,0,30.858,30.858
773251220,6978.137,0,35.117,60.186,0,30.92,30.92
773251221,6978.137,0,35.117,60.186,0,30.982,30.982
773251222,6978.137,0,35.117,60.186,0,31.044,31.044
773251223,6978.137,0,35.117,60.186,0,31.106,31.106
773251224,6978.137,0,35.117,60.186,0,31.168,31.168
773251225,6978.137,0,35.117,60.186,0,31.23,31.23
773251226,6978.137,0,35.117,60.186,0,31.293,31.293
773251227,6978.137,0,35.117,60.186,0,31.355,31.355
773251228,6978.137,0,35.117,60.186,0,31.417,31.417
773251229,6978.137,0,35.117,60.186,0,31.479,31.479
773251230,6978.137,0,35.117,60.186,0,31.541,31.541
773251231,6978.137,0,35.117,60.186,0,31.603,31.603
773251232,6978.137,0,35.117,60.186,0,31.665,31.665
773251233,6978.137,0,35.117,60.186,0,31.727,31.727
773251234,6978.137,0,35.117,60.186,0,31.789,31.789
773251235,6978.137,0,35.117,60.186,0,31.851,31.851
773251236,6978.137,0,35.117,60.186,0,31.913,31.913
773251237,6978.137,0,35.117,60.186,0,31.975,31.975
773251238,6978.137,0,35.117,60.186,0,32.037,32.037
773251239,6978.137,0,35.117,60.186,0,32.099,32.099
773251240,6978.137,0,35.117,60.186,0,32.161,32.161
773251241,6978.137,0,35.117,60.186,0,32.223,32.223
773251242,6978.137,0,35.117,60.186,0,32.285,32.285
773251243,6978.137,0,35.117,60.186,0,32.347,32.347
773251244,6978.137,0,35.117,60.186,0,32.41,32.41
773251245,6978.137,0,35.117,60.186,0,32.472,32.472
